,words,vectors
0,"['friend', 'good', 'idea', 'important', 'name', 'nt', 'people', 'school', 'student', 'teacher', 'want']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09752886507651232, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1997136350880314, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.20639329914322466, 0.10093193165938086, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8735945854058128, 0.0, 0.0, 0.0, 0.0699635475201072, 0.0, 0.0, 0.0, 0.0, 0.12318408516412548, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07262618914351132, 0.0, 0.0, 0.0, 0.0, 0.0, 0.24590285609453413, 0.0, 0.0, 0.20981080360864926, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06940510003993335, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,"['agree', 'bad', 'better', 'change', 'example', 'feel', 'first', 'get', 'good', 'hard', 'help', 'important', 'life', 'make', 'need', 'one', 'others', 'people', 'reason', 'someone', 'something', 'thing', 'think', 'try', 'use', 'want', 'world']","[0.0, 0.0, 0.09861740606284748, 0.0, 0.0, 0.0, 0.0, 0.08893063821752656, 0.0, 0.14876316830313294, 0.0, 0.10354170139420658, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07146846702235705, 0.0, 0.0, 0.09448991767065644, 0.08558243256859033, 0.0, 0.0, 0.0, 0.11837791705447483, 0.0, 0.0, 0.0, 0.0, 0.05922938883113996, 0.0, 0.08876694843838587, 0.06482402038081478, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.26940188439245927, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13622979614904948, 0.0, 0.0, 0.1242348345864017, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07193105768181444, 0.0, 0.0, 0.0, 0.18674280013094788, 0.0, 0.4650917605328263, 0.0, 0.3287960918292026, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08308357056606852, 0.0, 0.0, 0.0, 0.0, 0.19251647983610767, 0.14824270474964196, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3128741607420976, 0.062399991344344624, 0.0, 0.2895090368735139, 0.1082025579577187, 0.06175074108461417, 0.0, 0.0, 0.0, 0.40056806222361097, 0.0, 0.0]"
2,"['agree', 'always', 'bad', 'best', 'better', 'change', 'could', 'every', 'family', 'feel', 'friend', 'get', 'give', 'go', 'going', 'good', 'group', 'home', 'job', 'like', 'make', 'may', 'name', 'new', 'nt', 'one', 'others', 'people', 'person', 'problem', 'reason', 'say', 'see', 'someone', 'something', 'start', 'time', 'try', 'want', 'way', 'work', 'working', 'world', 'would']","[0.0, 0.0, 0.06101637174166957, 0.0, 0.05169386271533283, 0.0, 0.0, 0.05502299337752274, 0.05786153218433326, 0.046021230637864674, 0.0, 0.0640631222748614, 0.0, 0.0, 0.05632341678183869, 0.0, 0.0, 0.0, 0.0, 0.06137016017538009, 0.0, 0.0, 0.0, 0.18031828086979948, 0.23385048025936914, 0.0, 0.05368794293244147, 0.0, 0.0, 0.07324255708365775, 0.05264862735041283, 0.04410188949689778, 0.0, 0.046328108082803986, 0.07329258700334505, 0.09150575973963654, 0.0, 0.0, 0.0, 0.0, 0.06300737312637347, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05823199284347482, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14207923311634446, 0.0, 0.03843316891522101, 0.0, 0.06772071464056266, 0.0, 0.0, 0.08014976935385998, 0.0, 0.0, 0.059406144842533114, 0.23108229201665978, 0.07702743067221993, 0.0, 0.11510427170056962, 0.0, 0.4407695182382514, 0.3518266146271084, 0.0, 0.0, 0.0, 0.06482850902830818, 0.0, 0.10281061385966245, 0.1086443901543271, 0.0, 0.3312071059542145, 0.0, 0.1786701390106266, 0.09172044106727285, 0.06516355652516993, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.035833247061452404, 0.1194163161906025, 0.0, 0.07641259943384106, 0.0910823214355574, 0.04105399225339405, 0.06739207773855276, 0.18587902558170136, 0.4153243827437704, 0.0]"
3,"['agree', 'always', 'attitude', 'bad', 'could', 'example', 'get', 'going', 'good', 'job', 'life', 'like', 'make', 'need', 'nt', 'one', 'others', 'people', 'person', 'positive', 'problem', 'see', 'someone', 'something', 'success', 'time', 'try', 'work', 'would']","[0.0, 0.0, 0.07975905746163771, 0.0, 0.03378645475826046, 0.0, 0.6654468525039866, 0.10788699733957002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07362454546720512, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05780173901855259, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09574081762523515, 0.0, 0.0, 0.0, 0.060558930811381896, 0.023951553867630555, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.22835816342730134, 0.0, 0.0, 0.0, 0.0, 0.11017892857691634, 0.046430594751723675, 0.0, 0.025119433034466288, 0.0, 0.0, 0.0, 0.0, 0.0, 0.029087934838115736, 0.0, 0.0, 0.2013766172501622, 0.05034415431254055, 0.0, 0.15046139189518587, 0.0, 0.02216010627023151, 0.16424958915349372, 0.0, 0.0, 0.4042320368939301, 0.04237109343892666, 0.0, 0.0, 0.0, 0.0, 0.03607879579618938, 0.0, 0.07785102848768323, 0.05994732004439566, 0.0, 0.0, 0.4017542988957576, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04684031399821217, 0.07804899368015702, 0.0, 0.0, 0.0, 0.02683237001563548, 0.0, 0.0, 0.09048358760915179, 0.0]"
4,"['better', 'change', 'feel', 'going', 'good', 'make', 'many', 'may', 'school', 'student', 'take', 'thing', 'think']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1335901229394823, 0.0, 0.3719240125466976, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16970490561807589, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.26896184950097063, 0.2127532352486406, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.22312709543729353, 0.2885189357809304, 0.19657924112396416, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5802604575765788, 0.0, 0.0, 0.0, 0.0, 0.0, 0.26195821916682094, 0.0, 0.14022893837470696, 0.0, 0.0, 0.22477013940953522, 0.22414210749067717, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
5,"['activity', 'also', 'another', 'best', 'better', 'class', 'come', 'different', 'every', 'first', 'friend', 'get', 'give', 'going', 'good', 'group', 'hard', 'help', 'idea', 'important', 'job', 'know', 'learn', 'like', 'make', 'many', 'new', 'nt', 'people', 'person', 'reason', 'school', 'something', 'student', 'thing', 'think', 'time', 'way', 'work', 'working']","[0.0, 0.059821793990155615, 0.0, 0.01568252968059786, 0.0, 0.02259545569038444, 0.0, 0.0, 0.021539242512601225, 0.017131631500517327, 0.0, 0.0, 0.12072667845143664, 0.04595772559455311, 0.0, 0.0, 0.0, 0.04509716045715264, 0.0, 0.022845346694994807, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01971142070186851, 0.07994241280307203, 0.0, 0.0, 0.01363245268239799, 0.01959871281741066, 0.0, 0.0, 0.017245868152376765, 0.013641764625344796, 0.8515868297666324, 0.020444881181517865, 0.014930325055771963, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06344113473592479, 0.020682959192121413, 0.0, 0.02167714833150017, 0.0, 0.0, 0.06396904721265168, 0.019624606093519577, 0.0, 0.026444849821363317, 0.0, 0.01430693786599822, 0.11099922613948326, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.022114232240267106, 0.028673843341824753, 0.0, 0.0, 0.0, 0.0, 0.02524286778902261, 0.018709886192976317, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03827176124092103, 0.0, 0.014882549869389377, 0.0, 0.0, 0.0, 0.01707169469015249, 0.0, 0.20156153376686708, 0.0, 0.0, 0.0, 0.0, 0.014412290055412485, 0.014372020568538396, 0.026678208105922186, 0.0, 0.0, 0.0, 0.08476461545129814, 0.24452083776536684, 0.3261314601173546, 0.0, 0.0, 0.0]"
6,"['agree', 'bad', 'class', 'come', 'day', 'different', 'get', 'help', 'home', 'hour', 'keep', 'know', 'learn', 'need', 'nt', 'one', 'online', 'problem', 'school', 'self', 'something', 'start', 'student', 'take', 'teacher', 'thing', 'think', 'use', 'want', 'work', 'year']","[0.0, 0.0, 0.056041682490173994, 0.0, 0.0, 0.0, 0.0, 0.10107389333398277, 0.0, 0.0, 0.0, 0.0, 0.19858035491048665, 0.11339210491634928, 0.0, 0.046260354035133705, 0.0, 0.055634410578761964, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3699908412165057, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14735115485000802, 0.0, 0.0, 0.4629628538698194, 0.0, 0.07552678729259259, 0.0, 0.0, 0.0, 0.0, 0.12124020767214672, 0.0, 0.03945791931115272, 0.3873604038163521, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04087653140275915, 0.0, 0.0, 0.0353736766833878, 0.0353736766833878, 0.3089829243469454, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0595430146954263, 0.0, 0.0, 0.0, 0.18359956181258563, 0.0, 0.06348648710286593, 0.0, 0.08424243673342632, 0.05985074563553775, 0.4144295343947876, 0.0, 0.04436968141266544, 0.053040331677014725, 0.0, 0.03555963409646798, 0.0709205533165368, 0.0, 0.0, 0.12297734527364697, 0.14036529913153417, 0.0, 0.03770684380512819, 0.0, 0.0, 0.0, 0.11612233482777716]"
7,"['able', 'also', 'always', 'best', 'better', 'change', 'class', 'could', 'different', 'example', 'get', 'give', 'help', 'learn', 'make', 'many', 'may', 'never', 'one', 'others', 'people', 'reason', 'say', 'someone', 'something', 'student', 'teacher', 'thing', 'think', 'time', 'use', 'want', 'way', 'work']","[0.06433183657509156, 0.0, 0.0, 0.08174013276979401, 0.05014974239296146, 0.0, 0.0, 0.0, 0.05613318063472322, 0.17858621815942732, 0.0, 0.06214952627287731, 0.10487481852375552, 0.0, 0.05464100947253863, 0.0, 0.0, 0.058763604443690616, 0.0, 0.0, 0.0, 0.6863679169385208, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.17763691746997948, 0.1532279632597327, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15563901707322736, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15343040379739734, 0.0, 0.0, 0.0, 0.22371091102911375, 0.04821230836040234, 0.1313957292219967, 0.0, 0.0, 0.0, 0.0, 0.0575734627354811, 0.0, 0.0, 0.07472658459817044, 0.0, 0.3349981566999937, 0.0, 0.0986777359865837, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04986980590633068, 0.1053991304283755, 0.0, 0.0, 0.0, 0.057777725594750015, 0.08898070776839453, 0.0, 0.08754787900370026, 0.0, 0.0, 0.1680708596247847, 0.0, 0.11267912702601253, 0.11236428943883435, 0.03476289088960202, 0.0, 0.12989428661179087, 0.037065059330989567, 0.22090412268569365, 0.03982768993387054, 0.0, 0.0, 0.0, 0.0]"
8,"['activity', 'agree', 'also', 'another', 'class', 'different', 'even', 'every', 'example', 'future', 'get', 'give', 'go', 'going', 'good', 'group', 'help', 'high', 'high school', 'know', 'life', 'like', 'lot', 'make', 'many', 'much', 'nt', 'one', 'others', 'people', 'problem', 'really', 'reason', 'school', 'student', 'take', 'thing', 'think', 'time', 'try', 'want', 'way', 'working', 'would']","[0.0, 0.47180347722949695, 0.059712784768777595, 0.1236852247573596, 0.0, 0.05940206655600429, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10579434329221314, 0.0, 0.0, 0.0, 0.0, 0.05927883384318255, 0.10608215750465917, 0.06005901467384767, 0.0, 0.08654823442305544, 0.0, 0.0, 0.0, 0.0, 0.0, 0.058551712791704826, 0.0, 0.17919440808312517, 0.05152381342268182, 0.043159672728069226, 0.0, 0.045338329168528896, 0.03586336214325266, 0.0895507808882849, 0.0, 0.39250908448957017, 0.06846973198691968, 0.07396142736498265, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08408534999511362, 0.0, 0.04124353307041221, 0.10428283129208941, 0.3871474697141366, 0.03761206177799305, 0.145905077311817, 0.0, 0.0, 0.0573841912735451, 0.0, 0.0, 0.0, 0.0, 0.18845443680655136, 0.1507635494452411, 0.0, 0.05632256069832105, 0.0, 0.23226682681470143, 0.0, 0.0, 0.0, 0.0, 0.1268869549594821, 0.0546545765226815, 0.10061411195243815, 0.0, 0.11737593124630795, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2649464522427171, 0.0, 0.1418285703816044, 0.0, 0.0, 0.07577805243913494, 0.07556632041901121, 0.03506768606966651, 0.11686504102144148, 0.0, 0.03739003953671432, 0.13370458372587354, 0.0, 0.06595227671288631, 0.0, 0.09032248146631447, 0.0]"
9,"['class', 'day', 'every', 'going', 'group', 'learn', 'lot', 'make', 'many', 'new', 'one', 'people', 'phone', 'positive', 'reason', 'school', 'student', 'teacher', 'technology', 'thing', 'time', 'use', 'want', 'way', 'work']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06338704011998778, 0.0, 0.0, 0.059065397853914486, 0.0, 0.0, 0.0, 0.14393825054267617, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05432922783103622, 0.0, 0.21461861813399055, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0618229065726812, 0.0, 0.0, 0.05799018036186433, 0.1802831565262022, 0.11655936352827397, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13933182731938473, 0.0, 0.045165246363510665, 0.0, 0.0, 0.0, 0.039760988055261515, 0.0, 0.721922007635173, 0.0, 0.09066216218965402, 0.0, 0.0, 0.060283286917813456, 0.0, 0.1406523757604017, 0.0, 0.0, 0.0, 0.0, 0.0, 0.31748713353360636, 0.0, 0.0, 0.06772209936887058, 0.22345783085842746, 0.0454026775033399, 0.0, 0.12606553930809436, 0.0, 0.31403589432495677, 0.08960947674320821, 0.10681274063269648, 0.048144243113094676, 0.0, 0.0, 0.0, 0.0]"
